Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Compound PubChem URL,Alternative Compound PubChem CID,Alternative Compound PubChem URL,Compound ChEMBL ID,Alternative Compound ChEMBL ID,Broad Identifier,Compound InChIKey,Alternative Compound InChIKey,Compound SMILES,Alternative Compound SMILES,Control Type,Channels,Nuclei Count,Percentage Effect,Percentage Viability
ESP0029846.zarr,C17,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,CGS-15943,2690,https://pubchem.ncbi.nlm.nih.gov/compound/2690,,,CHEMBL16687,,"BRD-K49049886-001-08-7, BRD-K49049886-001-13-7",MSJODEOZODDVGW-UHFFFAOYSA-N,,NC1=NC2=CC=C(Cl)C=C2C2=NC(=NN12)C1=CC=CO1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,446,2.92,92.4
ESP0029846.zarr,C18,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Abafungin,159326,https://pubchem.ncbi.nlm.nih.gov/compound/159326,,,CHEMBL3989547,,BRD-K77432251-001-01-2,TYBHXIFFPVFXQW-UHFFFAOYSA-N,,Cc1ccc(Oc2ccccc2-c2csc(NC3=NCCCN3)n2)c(C)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,495,6.61,102.55
ESP0029846.zarr,C19,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,"3,12-Bis(3-bromopropanoyl)-3,12-diaza-6,9-diazoniadispiro[5.2.5.2]hexadecane dichloride dichloride",72115,https://pubchem.ncbi.nlm.nih.gov/compound/72115,,,CHEMBL2110925,,BRD-K96684644-300-01-7,JXEICPOBKSQAIU-UHFFFAOYSA-N,,O=C(CCBr)N1CC[N+]2(CC1)CC[N+]1(CCN(C(=O)CCBr)CC1)CC2,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,522,9.73,108.14
ESP0029846.zarr,C20,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Octenidine Dihydrochloride,51167,https://pubchem.ncbi.nlm.nih.gov/compound/51167,,,CHEMBL1199480,,BRD-K04568635-300-01-4,ZVXNYZWXUADSRV-UHFFFAOYSA-N,,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,269,25.92,55.73
ESP0029846.zarr,C21,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Azomycin (2-Nitroimidazole),10701,https://pubchem.ncbi.nlm.nih.gov/compound/10701,,,CHEMBL433637,,"BRD-K26824830-001-03-8, BRD-K26824830-001-02-0",YZEUHQHUFTYLPH-UHFFFAOYSA-N,,O=[N+]([O-])c1ncc[nH]1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,492,-0.75,101.93
ESP0029846.zarr,C22,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,HOMIDIUM BROMIDE,3624,https://pubchem.ncbi.nlm.nih.gov/compound/3624,101633772,https://pubchem.ncbi.nlm.nih.gov/compound/101633772,CHEMBL284328,CHEMBL48166,"BRD-K28354016-004-11-7, BRD-K28354016-001-12-9",QTANTQQOYSUMLC-UHFFFAOYSA-O,,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc12,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,462,-2.9,95.71
ESP0029846.zarr,C23,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,,,,,,,,,,,,,positive control,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,475,88.86,98.41
ESP0029846.zarr,C24,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,,,,,,,,,,,,,negative control,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,483,11.8,100.06
ESP0029846.zarr,D1,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Tucatinib,51039094,https://pubchem.ncbi.nlm.nih.gov/compound/51039094,,,CHEMBL3989868,,BRD-K26026438-001-01-0,SDEAXTCZPQIFQM-UHFFFAOYSA-N,,CC1=CC(NC2=C3C=C(NC4=NC(C)(C)CO4)C=CC3=NC=N2)=CC=C1OC5=CC6=NC=NN6C=C5,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,529,-7.95,109.59
ESP0029846.zarr,D2,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,CDK1-5-inhibitor,438981,https://pubchem.ncbi.nlm.nih.gov/compound/438981,,,CHEMBL259389,,"BRD-K87932577-001-02-4, BRD-K87932577-001-04-9",DWHVZCLBMTZRQM-UHFFFAOYSA-N,,NC1=NN=C2NC3=CC=CC=C3N=C12,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,533,-7.77,110.42
